Region and country of birth,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total,"1,052,415","1,107,126","1,130,818","1,042,625","1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505"
Africa,"94,710","105,915","127,046","101,355","100,374","107,241","98,304","98,413","101,415","113,426"
Asia,"397,834","399,027","413,312","422,063","451,593","429,599","400,548","430,508","419,297","462,299"
Europe,"106,566","103,782","105,476","88,801","83,850","81,671","86,556","83,266","85,803","93,567"
North America,"339,294","393,196","375,180","336,553","333,902","327,771","315,660","324,354","366,126","427,293"
Oceania,"6,101","5,263","5,578","5,345","4,980","4,742","5,277","5,112","5,404","5,588"
South America,"106,516","98,549","102,860","87,178","86,096","79,401","80,945","73,715","72,309","79,608"
Unknown,"1,394","1,394","1,366","1,330","1,245","1,206","3,263","1,150",677,"1,724"
COUNTRY,,,,,,,,,,
Total,"1,052,415","1,107,126","1,130,818","1,042,625","1,062,040","1,031,631","990,553","1,016,518","1,051,031","1,183,505"
Afghanistan,"1,753","2,813","3,165","2,017","1,648","1,617","2,196","10,527","8,328","12,513"
Albania,"5,737","5,754","5,137","4,711","3,612","3,364","3,186","3,828","4,653","5,773"
Algeria,"1,036","1,037","1,485","1,305","1,364","1,369","1,241","1,669","1,775","2,180"
American Samoa,11,14,19,14,D,-,D,-,-,-
Angola,199,221,173,148,148,187,143,148,154,198
Anguilla,25,22,21,19,25,23,22,20,22,20
Antigua and Barbuda,415,444,437,359,368,337,344,369,290,324
Argentina,"5,645","5,353","5,780","4,399","4,473","4,359","4,372","3,874","3,730","4,091"
Armenia,"4,351","3,586","3,442","2,979","2,983","2,681","2,722","2,913","2,962","3,543"
Aruba,55,36,38,49,39,54,45,40,38,23
Australia,"2,518","2,464","2,622","2,512","2,343","2,414","2,759","2,809","3,034","3,239"
Austria,485,443,512,442,424,407,415,438,474,432
Azerbaijan,"1,166","1,071",834,781,728,663,637,672,676,784
Bahamas,738,682,751,652,668,619,630,654,725,656
Bahrain,133,96,120,104,119,104,115,122,145,138
Bangladesh,"12,074","11,753","16,651","14,819","16,707","14,705","12,099","14,645","13,570","18,723"
Barbados,689,585,603,465,455,460,428,384,376,371
Belarus,"2,328","2,390","2,407","2,038","1,964","1,659","1,970","2,015","1,994","2,127"
Belgium,638,642,686,592,567,574,675,632,662,691
Belize,"1,073","1,077","1,041",965,905,847,946,789,772,851
Benin,258,317,401,486,462,415,342,517,466,577
Bermuda,108,92,108,72,71,85,88,106,112,99
Bhutan,52,42,594,"6,109","10,137","10,198","8,954","7,298","6,325","4,217"
Bolivia,"2,590","2,436","2,837","2,253","2,173","1,948","2,071","1,719","1,626","1,595"
Bosnia and Herzegovina,"1,569","1,491","1,501",946,878,815,697,693,859,971
Botswana,49,41,55,66,76,80,53,58,61,78
Brazil,"14,295","12,195","14,701","12,258","11,763","11,441","11,033","10,429","11,424","13,812"
Brunei,32,18,26,20,25,19,21,25,21,31
Bulgaria,"3,981","2,960","3,133","2,570","2,661","2,440","2,844","2,981","2,688","2,670"
Burkina Faso,238,238,416,377,433,558,585,583,575,642
Burma,"3,130","3,403","13,621","12,925","16,518","17,383","12,565","11,144","12,808","13,065"
Burundi,257,255,"1,505",841,593,535,260,273,351,415
Cabo Verde,"2,048","1,916","2,238","1,668","1,808","1,684","1,673","1,154","1,253","2,242"
Cambodia,"4,246","3,713","3,771","2,986","2,745","2,473","2,624","2,536","1,868","3,173"
Cameroon,"3,392","3,771","3,463","4,161","4,754","3,815","3,908","3,943","4,374","4,899"
Canada,"15,495","15,109","16,140","13,328","12,800","12,932","13,181","11,586","12,673","12,793"
Cayman Islands,40,37,45,52,41,44,44,48,53,55
Central African Republic,52,88,107,101,134,116,213,155,234,202
Chad,74,96,102,120,171,155,111,119,175,136
Chile,"2,274","2,017","2,250","1,950","1,853","1,673","1,736","1,581","1,596","1,698"
China People's Republic,"76,655","80,271","64,238","70,863","87,016","81,784","71,798","76,089","74,558","81,772"
Colombia,"33,187","30,213","27,849","22,406","22,635","20,931","21,131","18,175","17,316","18,610"
Comoros,7,D,D,4,8,10,D,9,5,4
Congo Democratic Republic,"1,129","1,261","2,122","1,764","2,424","3,731","2,792","4,347","5,345","6,791"
Congo Republic,972,950,"1,563",968,"1,371","1,461","1,059",552,496,625
Costa Rica,"2,540","2,090","2,384","2,164","2,135","2,020","2,114","1,966","2,029","2,224"
Cote d'Ivoire,"1,193","1,645","2,159","1,621","1,302","1,760","1,486","1,477","1,497","1,617"
Croatia,482,455,496,357,349,336,353,297,348,388
Cuba,"29,104","49,500","38,954","33,573","36,452","32,820","32,219","46,679","54,396","66,516"
Curacao,X,X,X,X,-,-,-,27,22,35
Cyprus,137,141,142,122,101,107,126,129,113,131
Czechia,287,227,146,190,303,677,676,606,637,650
Czechoslovakia (former),927,862,865,750,466,159,74,74,58,62
Denmark,517,498,603,518,459,459,506,514,609,521
Djibouti,23,39,54,37,56,106,90,190,370,281
Dominica,428,454,484,366,287,125,244,345,229,298
Dominican Republic,"28,024","31,879","49,414","53,870","46,109","41,566","41,311","44,577","50,610","61,161"
Ecuador,"12,248","11,663","12,128","11,492","11,103","9,342","10,591","10,960","10,187","10,757"
Egypt,"9,267","8,712","8,844","8,978","7,778","8,988","10,294","11,477","12,085","12,045"
El Salvador,"21,127","19,659","19,909","18,806","18,667","16,256","18,260","19,273","19,487","23,449"
Equatorial Guinea,4,16,32,12,13,20,18,15,25,18
Eritrea,"1,081","1,270","1,928","1,656","2,102","2,643","2,138","2,002","2,220","2,267"
Estonia,368,287,282,260,191,227,211,220,189,211
Ethiopia,"12,786","12,917","15,462","14,266","13,793","14,544","13,097","12,300","11,394","13,232"
Fiji,"1,637","1,176","1,194","1,201","1,041",853,895,802,875,866
Finland,426,302,423,397,363,348,331,350,407,489
France,"3,494","4,935","4,569","3,919","3,653","3,862","4,425","4,284","4,693","5,159"
French Polynesia,27,26,30,16,21,30,-,24,14,27
Gabon,95,82,171,138,204,197,127,167,146,165
Gambia,826,739,978,859,972,"1,159","1,018","1,111","1,142","1,247"
Georgia,"1,554","1,620","1,578","1,518","1,490","1,341","1,368","1,240","1,410","1,635"
Germany,"7,582","7,091","7,583","6,888","6,125","5,812","6,032","5,584","5,436","5,306"
Ghana,"7,610","8,195","8,401","7,429","8,798","10,592","10,265","7,115","6,186","6,949"
Greece,882,769,798,745,949,"1,054","1,361","1,235","1,211","1,451"
Grenada,751,784,748,664,579,671,687,633,525,585
Guatemala,"17,908","16,182","12,187","10,467","11,092","10,341","10,224","10,238","11,773","13,002"
Guinea,"1,088","1,735","1,725","1,379","1,555","1,656","1,518","1,375","1,389","1,501"
Guinea-Bissau,25,17,20,30,29,47,43,30,39,37
Guyana,"5,726","6,823","6,670","6,749","6,599","5,683","5,897","6,267","5,543","5,771"
Haiti,"30,405","26,007","24,280","22,582","22,111","22,818","20,351","15,274","16,967","23,584"
Honduras,"7,646","6,540","6,404","6,448","6,133","6,884","8,898","8,156","9,274","13,302"
Hong Kong,"3,527","3,373","2,651","2,432","2,306","2,104","2,226","2,278","2,085","2,510"
Hungary,"1,266","1,127","1,314","1,022","1,044","1,054","1,052",996,"1,095","1,048"
Iceland,95,122,131,105,90,103,139,86,104,97
India,"65,353","63,352","57,304","69,162","69,013","66,434","68,458","77,908","64,116","64,687"
Indonesia,"3,716","3,606","3,679","3,032","2,856","2,603","2,731","2,139","2,084","2,129"
Iran,"10,460","13,852","18,553","14,182","14,822","12,916","12,863","11,615","13,114","13,298"
Iraq,"3,765","4,795","12,110","19,855","21,133","20,369","9,552","19,153","21,107","18,904"
Ireland,"1,503","1,465","1,637","1,507","1,371","1,514","1,626","1,605","1,607","1,759"
Israel,"4,496","5,851","5,612","4,515","3,826","4,153","3,996","3,805","3,965","4,142"
Italy,"2,569","2,514","2,892","2,579","2,443","2,673","2,960","3,298","3,544","4,078"
Jamaica,"19,375","18,477","21,783","19,825","19,662","20,705","19,400","19,026","17,642","23,350"
Japan,"6,748","6,821","7,690","6,264","6,161","6,061","5,925","5,545","5,395","5,207"
Jordan,"3,917","3,936","4,282","3,868","3,876","4,099","4,188","5,187","4,664","5,269"
Kazakhstan,"1,604","1,630","1,562","1,282","1,235","1,202","1,241","1,221","1,201","1,310"
Kenya,"7,030","6,998","9,880","7,421","7,762","7,043","6,123","5,884","5,602","6,274"
Kiribati,10,4,10,6,D,6,3,6,D,9
Korea North,NA,NA,67,35,36,49,48,142,55,47
Korea South 1,"22,405","26,666","25,859","22,227","22,824","20,846","23,166","20,423","17,138","21,801"
Kosovo,X,-,-,355,670,782,839,758,814,"1,020"
Kuwait,"1,017","1,104","1,124","1,037",973,"1,044",937,"1,057","1,055","1,186"
Kyrgyzstan,597,632,574,507,542,648,652,707,790,847
Laos,"2,575","2,198","1,688","1,200",956,949,923,806,917,856
Latvia,568,455,444,435,426,436,424,384,480,391
Lebanon,"4,267","4,254","3,831","3,487","3,295","2,879","2,783","3,245","2,813","2,971"
Lesotho,14,16,14,23,25,17,20,13,23,19
Liberia,"4,102","7,193","7,641","4,837","4,151","4,109","3,334","3,874","3,795","3,619"
Libya,186,285,296,355,357,315,376,524,734,642
Lithuania,"1,361",967,"1,069",985,936,924,854,747,750,735
Luxembourg,39,28,30,22,24,19,40,26,27,34
Macau,178,205,158,143,130,120,106,105,99,109
Macedonia,"1,227","1,107","1,128",963,"1,078",906,895,960,"1,060","1,262"
Madagascar,53,77,71,80,83,79,95,86,72,88
Malawi,123,133,164,164,123,192,159,172,160,205
Malaysia,"2,149","1,945","2,014","1,714","2,273","2,605","2,477","2,622","2,749","3,382"
Maldives,9,D,6,5,3,D,5,13,8,11
Mali,412,523,576,528,629,734,667,604,587,598
Malta,53,66,58,74,51,62,43,39,58,65
Marshall Islands,48,39,48,37,38,50,46,56,32,32
Mauritania,651,844,597,495,393,410,354,320,298,317
Mauritius,88,83,110,84,101,77,83,81,96,110
Mexico,"148,640","189,989","164,920","139,120","143,446","146,406","135,028","134,052","158,619","174,534"
Micronesia Federated States,7,13,16,10,9,13,4,5,6,11
Moldova,"1,356","1,692","2,295","1,981","2,258","2,021","2,485","2,341","2,496","2,929"
Monaco,6,7,4,12,6,5,8,8,10,11
Mongolia,530,659,831,594,774,691,729,651,644,750
Montenegro,-,-,-,120,204,265,265,289,251,387
Montserrat,66,61,43,27,30,27,-,38,14,14
Morocco,"4,513","4,425","5,447","5,013","4,399","3,656","3,336","3,605","3,710","4,586"
Mozambique,81,69,66,53,60,94,73,71,107,101
Namibia,57,46,53,60,43,59,57,44,86,87
Nepal,"3,472","4,093","4,514","7,115","10,166","11,312","13,046","12,357","12,926","12,851"
Netherlands,"1,368","1,240","1,499","1,321","1,085","1,091","1,142","1,195","1,309","1,319"
Netherlands Antilles (former),93,78,97,77,86,106,128,45,22,18
New Caledonia,5,5,13,6,5,3,6,6,9,5
New Zealand,"1,047",893,947,919,803,814,921,796,855,846
Nicaragua,"3,716","3,614","4,137","3,565","3,401","3,046","3,048","2,886","3,324","3,486"
Niger,97,107,183,96,96,48,37,71,55,119
Nigeria,"12,448","12,475","15,253","13,376","11,824","13,575","13,840","12,828","11,542","14,380"
Norway,343,350,407,334,339,276,335,271,310,362
Oman,103,70,74,63,60,74,73,90,85,116
Pakistan,"13,492","19,719","21,555","18,258","15,546","14,740","13,251","18,612","18,057","19,313"
Palau,11,6,16,18,7,10,16,12,15,14
Panama,"1,916","1,678","1,806","1,536","1,374","1,281","1,234","1,095","1,052","1,029"
Papua New Guinea,31,15,19,30,20,21,27,18,11,23
Paraguay,545,481,530,467,500,467,448,391,382,434
Peru,"17,699","15,184","16,957","14,247","14,064","12,609","12,564","10,606","10,148","10,940"
Philippines,"72,596","54,030","60,029","58,173","57,011","57,327","54,446","49,996","56,478","53,287"
Poland,"10,355","8,354","8,754","7,643","6,863","6,300","6,430","5,689","5,275","5,603"
Portugal,"1,019",772,946,755,821,811,918,892,857,"1,006"
Qatar,138,151,134,148,193,141,191,202,229,272
Romania,"5,802","4,930","4,910","4,003","3,882","3,748","3,773","3,246","3,376","3,554"
Russia,"9,426","11,695","8,238","6,718","7,944","9,969","9,753","9,079","8,799","9,297"
Rwanda,357,378,952,489,520,592,540,555,732,"1,357"
Saint Kitts and Nevis,347,363,310,339,350,311,259,263,222,250
Saint Lucia,928,946,"1,027",872,785,919,853,844,739,777
Saint Vincent and the Grenadines,567,568,591,576,468,503,529,448,415,422
Samoa,290,227,250,219,267,238,237,239,207,219
Sao Tome and Principe,7,7,11,10,9,12,6,5,6,12
Saudi Arabia,"1,171","1,194","1,418","1,263","1,396","1,343","1,463","1,696","1,744","2,117"
Senegal,"1,024","1,149","1,524","1,285","1,424","1,615","1,340","1,273","1,244","1,533"
Serbia,-,-,-,20,244,704,866,"1,143","1,278","1,351"
Serbia and Montenegro (former),"3,586","3,255","3,166","2,196","1,398",801,653,267,232,202
Seychelles,7,16,10,8,15,7,6,7,11,16
Sierra Leone,"1,999","2,795","2,687","2,011","1,985","1,688","1,651","1,740","1,599","1,535"
Singapore,985,922,832,774,690,712,835,779,781,812
Sint Maarten,X,X,X,X,-,-,-,45,45,42
Slovakia,763,653,706,538,594,528,507,460,424,483
Slovenia,87,79,108,74,69,86,62,78,107,119
Solomon Islands,10,7,D,6,D,D,3,5,D,3
Somalia,"6,251","10,745","13,390","4,558","4,451","5,204","3,764","5,190","6,796","6,958"
South Africa,"2,988","2,723","3,171","2,758","2,649","2,781","2,629","2,676","2,907","3,023"
South Sudan,X,X,X,X,-,17,59,74,127,124
Soviet Union (former),"5,090","5,270","5,911","4,978","3,687","1,296","1,264","1,136","1,022","1,042"
Spain,"1,578","1,621","1,769","1,684","1,890","1,842","2,480","2,928","3,303","3,519"
Sri Lanka,"1,831","1,935","2,009","2,036","2,053","1,994","1,847","1,767","1,763","1,913"
Sudan,"2,930","3,598","3,577","2,397","2,628","2,471","1,945","2,442","3,580","3,159"
Suriname,197,218,227,216,196,187,178,158,134,156
Swaziland,13,18,42,22,19,24,15,23,19,20
Sweden,"1,145","1,019","1,138","1,097",979,968,"1,106",954,"1,066","1,144"
Switzerland,705,720,798,675,615,635,697,656,640,743
Syria,"2,385","2,641","2,442","2,555","2,785","3,014","3,366","3,540","3,840","4,800"
Taiwan,"8,990","9,073","8,038","6,732","6,154","5,331","5,385","4,697","4,888","5,120"
Tajikistan,172,231,265,299,382,411,550,516,595,593
Tanzania,832,838,"2,773","1,850","1,427","1,516",837,774,799,788
Thailand,"8,751","6,637","10,444","9,384","9,962","9,459","7,583","6,197","7,502","7,039"
Togo,"1,565","1,661","1,680","1,563","1,506","1,756","1,257","1,612","1,547","1,938"
Tonga,438,365,379,343,408,276,348,320,327,283
Trinidad and Tobago,"6,829","5,937","6,256","5,435","5,023","5,214","4,724","3,988","3,212","3,469"
Tunisia,417,410,416,418,440,422,445,429,518,518
Turkey,"4,425","4,210","4,958","4,483","4,403","4,162","4,144","3,834","4,201","4,469"
Turkmenistan,217,274,290,224,260,223,210,254,226,235
Turks and Caicos Islands,31,35,31,29,33,30,50,40,38,39
Uganda,"1,122","1,174","1,364","1,085","1,239","1,340","1,350","1,409","1,664","1,649"
Ukraine,"11,001","10,813","11,223","8,477","8,292","7,642","8,193","7,752","7,987","10,422"
United Arab Emirates,758,693,697,779,707,854,910,"1,039","1,193","1,370"
United Kingdom,"14,545","14,348","15,748","12,792","11,572","12,014","12,984","12,225","12,592","12,673"
United States,171,216,181,201,269,279,319,358,370,468
Uruguay,"1,418","1,451","1,775","1,331","1,553","1,374","1,352","1,128","1,078",972
Uzbekistan,"4,665","6,375","5,467","4,770","5,056","4,726","4,382","5,194","3,977","4,359"
Venezuela,"10,692","10,514","11,154","9,409","9,183","9,387","9,572","8,427","9,144","10,772"
Vietnam,"28,691","31,497","29,234","30,632","34,157","28,304","27,101","30,283","30,832","41,451"
Virgin Islands British,40,53,46,46,37,39,45,56,38,40
Yemen,"2,396","1,872","3,134","3,591","3,361","2,620","3,532","3,492","3,194","13,040"
Zambia,576,613,704,628,652,643,505,441,460,487
Zimbabwe,"1,057",953,983,"1,274","1,016",914,924,797,779,815
All other countries 2,23,23,36,26,26,24,27,31,34,31
Unknown,"1,394","1,394","1,366","1,330","1,245","1,206","3,263","1,150",677,"1,724"
Zimbabwe,"1,057",953,983,"1,274","1,016",914,924,797,779,815
All other countries 2,23,23,36,26,26,24,27,31,34,31
Unknown,"1,394","1,394","1,366","1,330","1,245","1,206","3,263","1,150",677,"1,724"
