Region and country of birth,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
REGION,,,,,,,
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Africa,"113,426","11,420","5,054","51,206","20,137","25,265",344
Asia,"462,299","108,734","81,288","180,168","15,503","62,895","13,711"
Europe,"93,567","6,380","21,323","49,513","11,949","4,197",205
North America,"427,293","96,604","18,330","231,712",714,"62,053","17,880"
Oceania,"5,588",458,"1,276","3,132",675,38,9
South America,"79,608","14,120","10,568","49,814",827,"2,934","1,345"
Unknown,"1,724",371,54,"1,161",60,43,35
COUNTRY,,,,,,,
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Afghanistan,"12,513",400,42,"1,081",127,686,"10,177"
Albania,"5,773",889,75,"2,918","1,730",155,6
Algeria,"2,180",169,62,674,"1,253",21,1
Angola,198,20,30,85,30,32,1
Anguilla,20,4, - ,15, - , - ,1
Antigua and Barbuda,324,91,15,217, - , - ,1
Argentina,"4,091",195,"1,343","2,341",31,101,80
Armenia,"3,543",304,102,"1,589","1,286",256,6
Aruba,23, D , D , D , - , - , - 
Australia,"3,239",67,"1,006","1,773",388, D , D 
Austria,432,15,149,233,27,5,3
Azerbaijan,784,54,56,354,232,87,1
Bahamas,656,52,60,532,5,5,2
Bahrain,138,28,62,36,5,7, - 
Bangladesh,"18,723","9,899",653,"7,841", D ,289, D 
Barbados,371,80,42,245, - , - ,4
Belarus,"2,127",109,285,751,792,188,2
Belgium,691,19,308,323,32,9, - 
Belize,851,183,46,586, D , D ,24
Benin,577,21,18,267,249,22, - 
Bermuda,99, D ,19,70, D , - , - 
Bhutan,"4,217",3,11,47,3,"4,153", - 
Bolivia,"1,595",287,109,"1,098",24,38,39
Bosnia and Herzegovina,971,126,72,642,61,65,5
Botswana,78,8,14,39,3,13,1
Brazil,"13,812",551,"3,489","9,438",14,152,168
Brunei,31,4,14,13, - , - , - 
Bulgaria,"2,670",163,281,"1,445",726,50,5
Burkina Faso,642,38,11,267,144,179,3
Burma,"13,065",569,61,777,125,"11,532",1
Burundi,415,9,11,58,58,278,1
Cabo Verde,"2,242","1,086",3,"1,145",3,4,1
Cambodia,"3,173",508,70,"2,239",287,63,6
