Region and country of last residence,Total,Family-sponsored preferences,Employment-based preferences,Immediate relatives of U.S. citizens,Diversity,Refugees and asylees,Other
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Africa,"110,754","11,914","4,170","51,232","19,118","24,006",314
Asia,"442,854","103,819","75,666","173,212","15,403","61,284","13,470"
Europe,"98,043","7,098","22,547","50,121","11,911","6,108",258
North America,"427,068","96,707","22,046","229,256",927,"61,915","16,217"
Oceania,"6,489",638,"1,731","3,307",743,50,20
South America,"75,571","13,198","9,675","47,703",776,"2,936","1,283"
Unknown,"22,726","4,713","2,058","11,875",987,"1,126","1,967"
COUNTRY,,,,,,,
Total,"1,183,505","238,087","137,893","566,706","49,865","157,425","33,529"
Afghanistan,"11,622",285,21,912,127,307,"9,970"
Albania,"5,355",772,54,"2,794","1,573",156,6
Algeria,"2,632",418,29,905,"1,258",21,1
Angola,185,11,37,78,30,28,1
Anguilla,20,4, - ,15, - , - ,1
Antigua and Barbuda,365,113,14,237, - , - ,1
Argentina,"3,783",176,"1,168","2,228",29,105,77
Armenia,"3,602",297,90,"1,711","1,258",240,6
Aruba,34, - ,3,31, - , - , - 
Australia,"4,173",235,"1,422","2,028",464,9,15
Austria,"1,621",31,166,247,44,"1,126",7
Azerbaijan,559,20,56,239,188,54,2
Bahamas,683,39,83,549,3,7,2
Bahrain,197,23,51,81,12,29,1
Bangladesh,"18,204","9,690",527,"7,676", - ,273,38
Barbados,384,79,42,259, - , - ,4
Belarus,"2,078",97,255,718,792,214,2
Belgium,821,32,365,364,47,13, - 
Belize,878,192,57,589,5,12,23
Benin,571,21,14,271,239,26, - 
Bermuda,144, D ,47,82, D , - , - 
Bhutan,193, - , D ,38, D ,144, - 
Bolivia,"1,481",275,85,"1,023",22,39,37
Bosnia and Herzegovina,864,108,51,611,59,30,5
Botswana,122,10,26,47,8,30,1
Brazil,"13,528",571,"3,341","9,289",17,151,159
Brunei,28, D ,15,9, - , D , - 
